年月日,乗車駅,降車駅,総計,定期以外計,普通券計,普通券大人,普通券小人,乗継計,乗継大人,乗継小人,地下売,バス売,一日券,プリペイド,ICSF,定期以外その他,定期計,通勤,通学,学都,公用,敬老,ふれあい,定期その他
2022-04-01,泉中央,八乙女,18995,8643,1236,1075,161,0,0,0,0,0,196,0,7211,0,10352,5264,250,1088,2,2349,1399,0
2022-04-01,泉中央,黒松,13116,6384,932,796,136,0,0,0,0,0,121,0,5331,0,6732,2743,307,995,0,1993,694,0
2022-04-01,泉中央,旭ヶ丘,16625,7255,1063,897,166,0,0,0,0,0,111,0,6081,0,9370,4102,191,1272,0,2511,1294,0
2022-04-01,泉中央,台原,15580,7028,935,797,138,0,0,0,0,0,48,0,6045,0,8552,3637,256,2440,0,1250,969,0
2022-04-01,泉中央,北仙台,33319,15296,1871,1736,135,0,0,0,0,0,100,0,13323,2,18023,8453,1699,5301,1,1592,977,0
2022-04-01,泉中央,北四番丁,34360,13162,1065,961,104,0,0,0,0,0,116,0,11981,0,21198,15477,259,2691,3,1458,1310,0
2022-04-01,泉中央,勾当台公園,63825,27949,2911,2647,264,0,0,0,0,0,398,0,24640,0,35876,28955,143,1408,3,4006,1361,0
2022-04-01,泉中央,広瀬通,57489,27495,2853,2649,204,0,0,0,0,0,338,0,24303,1,29994,23967,245,2256,0,2457,1069,0
2022-04-01,泉中央,仙台,178487,92328,14771,13756,1015,0,0,0,0,0,1172,0,76384,1,86159,54083,4476,18747,6,5443,3404,0
2022-04-01,泉中央,五橋,16887,7167,992,935,57,0,0,0,0,0,101,0,6074,0,9720,5025,219,3848,0,478,150,0
2022-04-01,泉中央,愛宕橋,3731,1545,234,230,4,0,0,0,0,0,43,0,1268,0,2186,1007,70,922,0,113,74,0
2022-04-01,泉中央,河原町,6074,2566,358,344,14,0,0,0,0,0,74,0,2134,0,3508,2098,25,959,0,265,161,0
2022-04-01,泉中央,長町一丁目,4509,2054,209,197,12,0,0,0,0,0,83,0,1762,0,2455,1637,14,552,0,195,57,0
2022-04-01,泉中央,長町,16362,6562,774,697,77,0,0,0,0,0,343,0,5444,1,9800,5327,181,2995,0,611,686,0
2022-04-01,泉中央,長町南,12079,4615,618,507,111,0,0,0,0,0,332,0,3665,0,7464,4540,88,1768,0,612,456,0
2022-04-01,泉中央,富沢,7465,2550,361,332,29,0,0,0,0,0,171,0,2018,0,4915,3106,5,1394,8,198,204,0
2022-04-01,泉中央,八木山動物公園,3254,1556,220,166,54,0,0,0,0,0,175,0,1161,0,1698,478,47,969,0,143,61,0
2022-04-01,泉中央,青葉山,2748,659,43,40,3,0,0,0,0,0,17,0,599,0,2089,576,0,1448,0,30,35,0
2022-04-01,泉中央,川内,1685,599,33,32,1,0,0,0,0,0,21,0,545,0,1086,221,14,790,0,24,37,0
