年,月,乗車駅,降車駅,合計,定期券外,普通券計,普通券大,乗継計,乗継大,乗継小,地下売,バス売,一日券,プリペ,ICSF,その他,定期計,通勤,通学,学都,公用,敬老,ふれあい,その他.1
2021,4,泉中央,八乙女,17848,8113,1117,990,0,0,0,0,0,135,0,6861,0,9735,5136,195,890,0,2064,1450,0
2021,4,泉中央,黒松,11602,5690,811,721,0,0,0,0,0,94,0,4785,0,5912,3082,150,477,0,1635,568,0
2021,4,泉中央,旭ヶ丘,14454,5956,816,690,0,0,0,0,0,81,0,5059,0,8498,4136,144,1089,4,1844,1281,0
2021,4,泉中央,台原,14478,6364,682,596,0,0,0,0,0,38,0,5644,0,8114,4098,123,2057,0,986,850,0
2021,4,泉中央,北仙台,30276,13703,1544,1435,0,0,0,0,0,86,0,12073,0,16573,9451,876,4087,0,1254,905,0
2021,4,泉中央,北四番丁,32992,11863,1018,940,0,0,0,0,0,89,0,10756,0,21129,16014,154,2405,4,1195,1357,0
2021,4,泉中央,勾当台公園,56585,22443,1872,1703,0,0,0,0,0,254,0,20316,1,34142,29565,70,672,2,2551,1282,0
2021,4,泉中央,広瀬通,50430,22233,1871,1753,0,0,0,0,0,167,0,20194,1,28197,23414,131,1886,0,1607,1159,0
2021,4,泉中央,仙台,138524,65356,9559,9055,0,0,0,0,0,654,0,55139,4,73168,53006,1904,11943,2,3273,3040,0
2021,4,泉中央,五橋,14646,5771,768,737,0,0,0,0,0,82,0,4920,1,8875,5017,112,3211,0,339,196,0
2021,4,泉中央,愛宕橋,3288,1228,196,196,0,0,0,0,0,25,0,1007,0,2060,1019,30,831,0,118,62,0
2021,4,泉中央,河原町,5481,1931,234,222,0,0,0,0,0,41,0,1656,0,3550,2624,3,582,0,205,136,0
2021,4,泉中央,長町一丁目,3973,1621,119,114,0,0,0,0,0,68,0,1434,0,2352,1713,10,397,0,162,70,0
2021,4,泉中央,長町,12280,4627,601,536,0,0,0,0,0,164,0,3862,0,7653,5118,84,1562,0,361,528,0
2021,4,泉中央,長町南,9771,3574,460,400,0,0,0,0,0,208,0,2906,0,6197,4278,25,1036,0,433,425,0
2021,4,泉中央,富沢,6592,2174,265,243,0,0,0,0,0,109,0,1800,0,4418,3066,9,1060,7,124,152,0
2021,4,泉中央,八木山動物公園,2179,1020,56,55,0,0,0,0,0,50,0,914,0,1159,457,34,527,0,95,46,0
2021,4,泉中央,青葉山,2461,611,54,52,0,0,0,0,0,16,0,541,0,1850,639,19,1161,0,13,18,0
2021,4,泉中央,川内,1132,583,49,48,0,0,0,0,0,14,0,520,0,549,190,0,351,0,5,3,0
2021,4,泉中央,国際センター,3178,868,86,86,0,0,0,0,0,29,0,753,0,2310,71,185,2037,0,11,6,0
2021,4,泉中央,大町西公園,1123,475,49,48,0,0,0,0,0,17,0,409,0,648,536,1,39,2,48,22,0
2021,4,泉中央,青葉通一番町,1733,724,51,45,0,0,0,0,0,23,0,650,0,1009,759,0,53,0,142,55,0
2021,4,泉中央,宮城野通,1774,628,31,31,0,0,0,0,0,19,0,578,0,1146,916,13,62,0,40,115,0
2021,4,泉中央,連坊,3722,825,108,102,0,0,0,0,0,19,0,698,0,2897,653,247,1908,0,53,36,0
2021,4,泉中央,薬師堂,5109,1295,156,139,0,0,0,0,0,41,0,1098,0,3814,1242,164,2219,0,59,130,0
2021,4,泉中央,卸町,2692,1030,135,126,0,0,0,0,0,35,0,860,0,1662,1120,13,359,0,58,112,0
2021,4,泉中央,六丁の目,2355,807,110,87,0,0,0,0,0,26,0,671,0,1548,884,30,573,0,24,37,0
2021,4,泉中央,荒井,1867,729,67,60,0,0,0,0,0,22,0,640,0,1138,784,0,213,0,69,72,0
2021,4,八乙女,泉中央,17506,8621,1262,1142,0,0,0,0,0,100,0,7259,0,8885,4503,180,791,0,1997,1414,0
2021,4,八乙女,黒松,1798,800,117,96,0,0,0,0,0,14,0,669,0,998,403,15,104,0,309,167,0
2021,4,八乙女,旭ヶ丘,2786,1302,209,176,0,0,0,0,0,12,0,1081,0,1484,653,18,213,0,348,252,0
2021,4,八乙女,台原,2897,1521,214,189,0,0,0,0,0,9,0,1298,0,1376,571,4,401,0,197,203,0
2021,4,八乙女,北仙台,6392,2668,381,367,0,0,0,0,0,21,0,2266,0,3724,2463,179,592,0,213,277,0
2021,4,八乙女,北四番丁,12458,6000,419,405,0,0,0,0,0,29,0,5552,0,6458,5278,0,526,0,345,309,0
2021,4,八乙女,勾当台公園,20022,7516,651,608,0,0,0,0,0,74,0,6791,0,12506,11255,3,254,0,768,226,0
2021,4,八乙女,広瀬通,17312,7694,693,674,0,0,0,0,0,61,0,6940,0,9618,8318,8,512,0,465,315,0
2021,4,八乙女,仙台,43657,18829,2846,2711,0,0,0,0,0,224,0,15759,0,24828,18629,440,3942,3,1112,702,0
2021,4,八乙女,五橋,4868,1731,189,179,0,0,0,0,0,37,0,1505,0,3137,2486,0,505,0,93,53,0
2021,4,八乙女,愛宕橋,751,333,54,48,0,0,0,0,0,8,0,271,0,418,270,0,120,0,19,9,0
2021,4,八乙女,河原町,1494,465,41,33,0,0,0,0,0,13,0,411,0,1029,661,0,299,0,56,13,0
2021,4,八乙女,長町一丁目,1128,417,43,32,0,0,0,0,0,14,0,360,0,711,531,0,112,0,28,40,0
2021,4,八乙女,長町,4257,1415,149,141,0,0,0,0,0,48,0,1218,0,2842,1730,54,816,0,102,140,0
2021,4,八乙女,長町南,3081,1058,124,112,0,0,0,0,0,75,0,859,0,2023,1379,1,398,0,86,159,0
2021,4,八乙女,富沢,1935,511,70,68,0,0,0,0,0,22,0,419,0,1424,1021,0,358,0,20,25,0
2021,4,八乙女,八木山動物公園,790,327,30,30,0,0,0,0,0,32,0,265,0,463,161,1,270,0,26,5,0
2021,4,八乙女,青葉山,685,256,9,9,0,0,0,0,0,4,0,243,0,429,161,0,228,0,1,39,0
2021,4,八乙女,川内,351,171,14,13,0,0,0,0,0,2,0,155,0,180,94,0,83,0,3,0,0
2021,4,八乙女,国際センター,563,111,10,9,0,0,0,0,0,9,0,92,0,452,32,1,411,0,8,0,0
2021,4,八乙女,大町西公園,330,146,12,10,0,0,0,0,0,11,0,123,0,184,159,0,4,0,16,5,0
2021,4,八乙女,青葉通一番町,840,402,27,25,0,0,0,0,0,12,0,363,0,438,357,4,5,0,58,14,0
2021,4,八乙女,宮城野通,669,345,19,19,0,0,0,0,0,8,0,318,0,324,304,0,10,0,5,5,0
2021,4,八乙女,連坊,592,171,22,22,0,0,0,0,0,1,0,148,0,421,134,11,259,0,7,10,0
2021,4,八乙女,薬師堂,1294,366,19,18,0,0,0,0,0,13,0,334,0,928,491,21,379,0,24,13,0
2021,4,八乙女,卸町,1202,385,34,32,0,0,0,0,0,8,0,343,0,817,712,0,42,0,8,55,0
2021,4,八乙女,六丁の目,873,229,30,30,0,0,0,0,0,9,0,190,0,644,326,0,302,0,8,8,0
2021,4,八乙女,荒井,598,222,9,9,0,0,0,0,0,9,0,204,0,376,285,0,65,0,18,8,0
2021,4,黒松,泉中央,11450,5602,775,689,0,0,0,0,0,86,0,4741,0,5848,3144,164,394,0,1493,653,0
2021,4,黒松,八乙女,2247,808,136,115,0,0,0,0,0,46,0,626,0,1439,798,15,100,0,327,199,0
2021,4,黒松,旭ヶ丘,1734,378,82,73,0,0,0,0,0,13,0,283,0,1356,564,0,43,0,514,235,0
