年月日,乗車駅,降車駅,総計,定期以外計,普通券計,普通券大人,普通券小人,乗継計,乗継大人,乗継小人,地下売,バス売,一日券,プリペイド,ICSF,定期以外その他,定期計,通勤,通学,学都,公用,敬老,ふれあい,定期その他
2024-04-01,泉中央,八乙女,17858,7773,1051,900,151,0,0,0,0,0,149,0,6573,0,10085,5002,217,1035,0,2443,1388,0
2024-04-01,泉中央,黒松,13324,5731,759,652,107,0,0,0,0,0,77,0,4895,0,7593,3098,112,1096,0,2542,745,0
2024-04-01,泉中央,旭ヶ丘,16121,6729,1033,800,233,0,0,0,0,0,122,0,5574,0,9392,3907,94,1602,1,2380,1408,0
2024-04-01,泉中央,台原,15566,6178,781,686,95,0,0,0,0,0,56,0,5341,0,9388,3710,493,3036,0,1256,893,0
2024-04-01,泉中央,北仙台,33280,14450,1634,1441,193,0,0,0,0,0,134,0,12682,0,18830,8885,1748,5119,4,1816,1258,0
2024-04-01,泉中央,北四番丁,36479,12449,1041,940,101,0,0,0,0,0,140,0,11268,0,24030,17925,332,2804,1,1696,1272,0
2024-04-01,泉中央,勾当台公園,76421,32520,3729,3333,396,0,0,0,0,0,570,0,28220,1,43901,35512,110,1486,3,5026,1764,0
2024-04-01,泉中央,広瀬通,62872,28335,2960,2702,258,0,0,0,0,0,393,0,24982,0,34537,27997,262,2170,0,3017,1091,0
2024-04-01,泉中央,仙台,206317,107794,15754,14301,1453,0,0,0,0,0,1884,0,90153,3,98523,63140,3872,19292,5,8026,4188,0
2024-04-01,泉中央,五橋,27398,8029,1066,1003,63,0,0,0,0,0,111,0,6852,0,19369,5766,498,12264,0,575,266,0
2024-04-01,泉中央,愛宕橋,3478,1251,177,169,8,0,0,0,0,0,69,0,1005,0,2227,1114,24,918,0,124,47,0
2024-04-01,泉中央,河原町,5351,1998,231,206,25,0,0,0,0,0,79,0,1688,0,3353,2086,30,750,0,324,163,0
2024-04-01,泉中央,長町一丁目,5164,2082,215,194,21,0,0,0,0,0,74,0,1793,0,3082,1929,35,735,0,271,112,0
2024-04-01,泉中央,長町,17021,7387,886,735,151,0,0,0,0,0,543,0,5958,0,9634,5276,125,2652,6,859,716,0
2024-04-01,泉中央,長町南,12277,4556,586,443,143,0,0,0,0,0,391,0,3579,0,7721,4362,147,1864,0,836,512,0
2024-04-01,泉中央,富沢,8265,2824,379,327,52,0,0,0,0,0,248,0,2197,0,5441,3506,14,1382,8,237,294,0
2024-04-01,泉中央,八木山動物公園,3772,1457,237,179,58,0,0,0,0,0,168,0,1052,0,2315,608,72,1391,2,136,106,0
2024-04-01,泉中央,青葉山,3904,716,35,35,0,0,0,0,0,0,35,0,646,0,3188,793,69,2208,0,38,80,0
2024-04-01,泉中央,川内,2226,568,42,31,11,0,0,0,0,0,23,0,502,1,1658,214,73,1314,0,29,28,0
2024-04-01,泉中央,国際センター,4148,1269,136,119,17,0,0,0,0,0,135,0,998,0,2879,211,327,2220,0,104,17,0
2024-04-01,泉中央,大町西公園,2425,1271,242,203,39,0,0,0,0,0,106,0,923,0,1154,759,0,218,0,141,36,0
2024-04-01,泉中央,青葉通一番町,2255,990,64,52,12,0,0,0,0,0,71,0,855,0,1265,844,0,59,0,297,65,0
2024-04-01,泉中央,宮城野通,1543,627,43,34,9,0,0,0,0,0,28,0,556,0,916,695,15,65,0,54,87,0
2024-04-01,泉中央,連坊,3574,892,92,86,6,0,0,0,0,0,32,0,767,1,2682,666,239,1613,0,66,98,0
2024-04-01,泉中央,薬師堂,4082,1143,121,111,10,0,0,0,0,0,54,0,968,0,2939,1201,47,1334,0,152,205,0
2024-04-01,泉中央,卸町,3687,1131,119,97,22,0,0,0,0,0,72,0,940,0,2556,1793,26,392,0,141,204,0
2024-04-01,泉中央,六丁の目,2443,838,75,63,12,0,0,0,0,0,51,0,712,0,1605,1020,56,405,0,76,48,0
2024-04-01,泉中央,荒井,1855,706,112,96,16,0,0,0,0,0,63,0,531,0,1149,759,10,220,0,110,50,0
2024-04-01,八乙女,泉中央,18222,8333,1192,1028,164,0,0,0,0,0,119,0,7022,0,9889,4815,233,910,0,2436,1495,0
2024-04-01,八乙女,黒松,2402,1036,224,188,36,0,0,0,0,0,31,0,781,0,1366,550,25,129,0,455,207,0
2024-04-01,八乙女,旭ヶ丘,4311,1823,262,210,52,0,0,0,0,0,26,0,1535,0,2488,1020,21,355,0,555,537,0
2024-04-01,八乙女,台原,3828,1411,228,209,19,0,0,0,0,0,10,0,1173,0,2417,1110,24,687,0,325,271,0
2024-04-01,八乙女,北仙台,7590,3170,455,405,50,0,0,0,0,0,37,0,2678,0,4420,2488,282,999,0,404,247,0
2024-04-01,八乙女,北四番丁,13979,5898,431,396,35,0,0,0,0,0,49,0,5418,0,8081,6630,6,606,0,419,420,0
2024-04-01,八乙女,勾当台公園,23869,9333,927,855,72,0,0,0,0,0,159,0,8247,0,14536,12246,18,515,0,1358,399,0
2024-04-01,八乙女,広瀬通,20364,8562,997,933,64,0,0,0,0,0,129,0,7436,0,11802,9943,15,629,0,766,449,0
2024-04-01,八乙女,仙台,61578,28365,4296,3927,369,0,0,0,0,0,467,0,23602,0,33213,23009,923,5778,0,2244,1259,0
2024-04-01,八乙女,五橋,6986,2304,244,233,11,0,0,0,0,0,36,0,2024,0,4682,2231,18,2149,0,253,31,0
2024-04-01,八乙女,愛宕橋,727,247,40,40,0,0,0,0,0,0,4,0,203,0,480,255,0,124,0,52,49,0
2024-04-01,八乙女,河原町,1474,462,84,83,1,0,0,0,0,0,13,0,365,0,1012,619,0,311,0,50,32,0
2024-04-01,八乙女,長町一丁目,1517,543,39,37,2,0,0,0,0,0,42,0,462,0,974,538,10,281,0,55,90,0
2024-04-01,八乙女,長町,5854,2066,248,229,19,0,0,0,0,0,83,0,1735,0,3788,1976,121,1223,0,261,207,0
2024-04-01,八乙女,長町南,3899,1207,172,147,25,0,0,0,0,0,93,0,942,0,2692,1625,32,641,0,183,211,0
2024-04-01,八乙女,富沢,2280,668,81,78,3,0,0,0,0,0,57,0,530,0,1612,1047,0,412,0,84,69,0
2024-04-01,八乙女,八木山動物公園,952,368,62,43,19,0,0,0,0,0,55,0,251,0,584,142,1,357,0,59,25,0
2024-04-01,八乙女,青葉山,906,169,11,7,4,0,0,0,0,0,2,0,156,0,737,372,0,297,0,13,55,0
2024-04-01,八乙女,川内,630,86,15,15,0,0,0,0,0,0,3,0,68,0,544,204,0,315,0,23,2,0
2024-04-01,八乙女,国際センター,828,240,31,26,5,0,0,0,0,0,25,0,184,0,588,47,25,460,1,47,8,0
2024-04-01,八乙女,大町西公園,769,465,63,49,14,0,0,0,0,0,42,0,360,0,304,233,0,26,0,37,8,0
2024-04-01,八乙女,青葉通一番町,877,415,42,38,4,0,0,0,0,0,26,0,347,0,462,311,0,18,0,98,35,0
2024-04-01,八乙女,宮城野通,691,242,16,11,5,0,0,0,0,0,11,0,215,0,449,370,0,10,0,22,47,0
2024-04-01,八乙女,連坊,886,219,34,30,4,0,0,0,0,0,6,0,179,0,667,229,11,393,0,13,21,0
2024-04-01,八乙女,薬師堂,1097,308,42,41,1,0,0,0,0,0,10,0,256,0,789,411,33,295,0,31,19,0
2024-04-01,八乙女,卸町,1381,393,45,43,2,0,0,0,0,0,14,0,334,0,988,757,0,137,0,64,30,0
2024-04-01,八乙女,六丁の目,711,194,44,44,0,0,0,0,0,0,17,0,133,0,517,367,0,117,0,10,23,0
2024-04-01,八乙女,荒井,735,237,12,10,2,0,0,0,0,0,7,0,218,0,498,360,0,98,1,31,8,0
2024-04-01,黒松,泉中央,13603,6039,845,742,103,0,0,0,0,0,110,0,5084,0,7564,3305,90,1024,0,2362,783,0
2024-04-01,黒松,八乙女,3291,996,195,160,35,0,0,0,0,0,42,0,759,0,2295,1262,34,232,0,537,230,0
2024-04-01,黒松,旭ヶ丘,2609,515,79,63,16,0,0,0,0,0,25,0,411,0,2094,835,0,106,0,853,300,0
2024-04-01,黒松,台原,2488,775,167,149,18,0,0,0,0,0,23,0,585,0,1713,599,4,198,0,623,289,0
2024-04-01,黒松,北仙台,4280,1472,182,166,16,0,0,0,0,0,28,0,1262,0,2808,1354,165,596,0,500,193,0
2024-04-01,黒松,北四番丁,6497,2170,211,185,26,0,0,0,0,0,14,0,1945,0,4327,3296,7,377,0,407,240,0
2024-04-01,黒松,勾当台公園,13799,5365,577,518,59,0,0,0,0,0,44,0,4744,0,8434,6771,2,290,0,1053,318,0
2024-04-01,黒松,広瀬通,13358,5798,651,600,51,0,0,0,0,0,32,0,5115,0,7560,6072,4,364,0,917,203,0
2024-04-01,黒松,仙台,32267,14180,2046,1880,166,0,0,0,0,0,125,0,12009,0,18087,13222,241,2190,0,1667,767,0
2024-04-01,黒松,五橋,3661,1114,71,69,2,0,0,0,0,0,20,0,1023,0,2547,856,4,1417,0,137,133,0
2024-04-01,黒松,愛宕橋,511,116,31,31,0,0,0,0,0,0,5,0,80,0,395,233,0,123,0,33,6,0
2024-04-01,黒松,河原町,550,183,38,34,4,0,0,0,0,0,7,0,138,0,367,272,0,15,0,38,42,0
2024-04-01,黒松,長町一丁目,914,269,26,22,4,0,0,0,0,0,23,0,220,0,645,394,0,150,0,57,44,0
2024-04-01,黒松,長町,1953,744,65,60,5,0,0,0,0,0,51,0,628,0,1209,806,0,149,0,157,97,0
2024-04-01,黒松,長町南,1922,718,83,70,13,0,0,0,0,0,43,0,592,0,1204,771,20,200,0,151,62,0
2024-04-01,黒松,富沢,590,282,21,21,0,0,0,0,0,0,25,0,236,0,308,203,0,31,0,41,33,0
2024-04-01,黒松,八木山動物公園,486,172,30,17,13,0,0,0,0,0,10,0,132,0,314,142,0,137,0,28,7,0
2024-04-01,黒松,青葉山,859,122,2,2,0,0,0,0,0,0,2,0,118,0,737,374,0,359,0,3,1,0
2024-04-01,黒松,川内,335,49,4,4,0,0,0,0,0,0,0,0,45,0,286,56,0,222,0,7,1,0
2024-04-01,黒松,国際センター,446,117,12,8,4,0,0,0,0,0,13,0,92,0,329,0,10,291,0,21,7,0
2024-04-01,黒松,大町西公園,345,136,26,15,11,0,0,0,0,0,7,0,103,0,209,157,0,8,0,34,10,0
2024-04-01,黒松,青葉通一番町,214,122,10,7,3,0,0,0,0,0,5,0,107,0,92,25,0,13,0,50,4,0
2024-04-01,黒松,宮城野通,212,58,3,2,1,0,0,0,0,0,3,0,52,0,154,76,0,2,0,23,53,0
2024-04-01,黒松,連坊,408,75,11,11,0,0,0,0,0,0,3,0,61,0,333,99,19,202,0,12,1,0
2024-04-01,黒松,薬師堂,392,107,14,14,0,0,0,0,0,0,9,0,84,0,285,96,0,140,0,24,25,0
2024-04-01,黒松,卸町,643,211,16,15,1,0,0,0,0,0,8,0,187,0,432,353,0,9,0,46,24,0
2024-04-01,黒松,六丁の目,398,175,14,14,0,0,0,0,0,0,6,0,155,0,223,168,0,17,0,10,28,0
2024-04-01,黒松,荒井,224,74,17,14,3,0,0,0,0,0,4,0,53,0,150,91,0,6,0,5,48,0
2024-04-01,旭ヶ丘,泉中央,16965,7231,1122,859,263,0,0,0,0,0,106,0,6003,0,9734,4255,132,1563,0,2362,1422,0
2024-04-01,旭ヶ丘,八乙女,4259,1634,215,182,33,0,0,0,0,0,27,0,1392,0,2625,1034,16,415,0,550,610,0
2024-04-01,旭ヶ丘,黒松,1715,378,67,56,11,0,0,0,0,0,23,0,288,0,1337,345,1,69,0,714,208,0
2024-04-01,旭ヶ丘,台原,2627,1063,220,176,44,0,0,0,0,0,15,0,828,0,1564,574,2,127,0,595,266,0
2024-04-01,旭ヶ丘,北仙台,7680,3307,497,448,49,0,0,0,0,0,28,0,2782,0,4373,2045,183,815,15,768,547,0
2024-04-01,旭ヶ丘,北四番丁,11711,4064,371,326,45,0,0,0,0,0,23,0,3670,0,7647,5769,4,488,107,742,537,0
2024-04-01,旭ヶ丘,勾当台公園,24263,9844,1261,1123,138,0,0,0,0,0,81,0,8502,0,14419,10545,1,443,1,2698,731,0
2024-04-01,旭ヶ丘,広瀬通,21167,9612,1224,1121,103,0,0,0,0,0,59,0,8329,0,11555,8882,50,654,0,1428,541,0
2024-04-01,旭ヶ丘,仙台,49526,23446,3582,3134,448,0,0,0,0,0,161,0,19703,0,26080,17958,273,2904,0,3083,1862,0
2024-04-01,旭ヶ丘,五橋,6228,1946,277,249,28,0,0,0,0,0,37,0,1632,0,4282,1803,0,1993,0,234,252,0
2024-04-01,旭ヶ丘,愛宕橋,586,180,31,25,6,0,0,0,0,0,7,0,142,0,406,191,0,125,0,72,18,0
2024-04-01,旭ヶ丘,河原町,997,407,57,42,15,0,0,0,0,0,11,0,339,0,590,360,0,47,0,111,72,0
2024-04-01,旭ヶ丘,長町一丁目,1832,595,50,42,8,0,0,0,0,0,8,0,537,0,1237,712,0,254,0,134,137,0
2024-04-01,旭ヶ丘,長町,4049,1600,217,162,55,0,0,0,0,0,69,0,1314,0,2449,1437,9,232,0,380,391,0
2024-04-01,旭ヶ丘,長町南,3476,1334,197,123,74,0,0,0,0,0,79,0,1058,0,2142,1201,13,283,0,392,253,0
2024-04-01,旭ヶ丘,富沢,1632,524,72,65,7,0,0,0,0,0,29,0,423,0,1108,869,0,71,0,91,77,0
2024-04-01,旭ヶ丘,八木山動物公園,949,345,69,41,28,0,0,0,0,0,22,0,254,0,604,281,0,192,0,84,47,0
2024-04-01,旭ヶ丘,青葉山,932,169,27,26,1,0,0,0,0,0,9,0,133,0,763,366,0,390,0,7,0,0
2024-04-01,旭ヶ丘,川内,494,92,11,11,0,0,0,0,0,0,4,0,77,0,402,156,16,215,0,13,2,0
2024-04-01,旭ヶ丘,国際センター,526,200,28,23,5,0,0,0,0,0,9,0,163,0,326,43,38,173,0,51,21,0
2024-04-01,旭ヶ丘,大町西公園,597,317,70,60,10,0,0,0,0,0,27,0,220,0,280,148,0,34,0,70,28,0
2024-04-01,旭ヶ丘,青葉通一番町,1049,416,40,27,13,0,0,0,0,0,12,0,364,0,633,353,0,7,0,210,63,0
2024-04-01,旭ヶ丘,宮城野通,811,297,22,21,1,0,0,0,0,0,4,0,271,0,514,371,0,3,0,41,99,0
2024-04-01,旭ヶ丘,連坊,753,126,16,7,9,0,0,0,0,0,2,0,108,0,627,334,0,188,0,49,56,0
2024-04-01,旭ヶ丘,薬師堂,860,346,40,37,3,0,0,0,0,0,5,0,301,0,514,212,0,164,0,90,48,0
2024-04-01,旭ヶ丘,卸町,1042,295,29,18,11,0,0,0,0,0,14,0,252,0,747,592,0,6,0,68,81,0
2024-04-01,旭ヶ丘,六丁の目,696,253,28,25,3,0,0,0,0,0,8,0,217,0,443,357,0,20,0,30,36,0
2024-04-01,旭ヶ丘,荒井,601,169,18,17,1,0,0,0,0,0,10,0,141,0,432,299,0,9,0,49,75,0
2024-04-01,台原,泉中央,16962,7187,922,796,126,0,0,0,0,0,59,0,6206,0,9775,4043,482,3070,0,1252,928,0
2024-04-01,台原,八乙女,3719,1421,218,198,20,0,0,0,0,0,19,0,1184,0,2298,1172,18,621,0,272,215,0
2024-04-01,台原,黒松,1967,698,131,121,10,0,0,0,0,0,14,0,553,0,1269,464,3,170,0,454,178,0
2024-04-01,台原,旭ヶ丘,2393,970,217,169,48,0,0,0,0,0,28,0,725,0,1423,558,5,98,2,503,257,0
2024-04-01,台原,北仙台,4683,1679,229,197,32,0,0,0,0,0,9,0,1441,0,3004,1251,25,855,1,493,379,0
