年,月,乗車駅,降車駅,合計,定期券外,普通券計,普通券大,乗継計,乗継大,乗継小,地下売,バス売,一日券,プリペ,ICSF,その他,定期計,通勤,通学,学都,公用,敬老,ふれあい,その他.1
2019,4,泉中央,八乙女,22407,11055,2040,1757,0,0,0,0,0,247,0,8768,0,11352,5677,232,1593,0,2624,1226,0
2019,4,泉中央,黒松,14636,7725,1415,1240,0,0,0,0,0,134,0,6176,0,6911,2849,258,976,0,2252,576,0
2019,4,泉中央,旭ヶ丘,20502,9040,1580,1312,0,0,0,0,0,148,0,7312,0,11462,4551,188,2043,0,3236,1444,0
2019,4,泉中央,台原,17746,7904,1392,1237,0,0,0,0,0,93,0,6418,1,9842,3755,262,3342,1,1714,768,0
2019,4,泉中央,北仙台,39411,17598,2768,2508,0,0,0,0,0,155,0,14674,1,21813,8801,2149,7857,1,1961,1044,0
2019,4,泉中央,北四番丁,41007,16621,1896,1720,0,0,0,0,0,160,0,14565,0,24386,16943,259,4202,12,1713,1257,0
2019,4,泉中央,勾当台公園,84490,39863,6036,5626,0,0,0,0,0,539,0,33288,0,44627,34760,284,2422,2,5592,1567,0
2019,4,泉中央,広瀬通,77856,38756,5826,5466,0,0,0,0,0,409,0,32519,2,39100,29138,457,4652,0,3804,1049,0
2019,4,泉中央,仙台,251540,138112,28969,26438,0,0,0,0,0,1502,0,107637,4,113428,64415,6414,29741,11,8932,3915,0
2019,4,泉中央,五橋,21642,8158,1377,1300,0,0,0,0,0,174,0,6607,0,13484,6052,246,6387,0,570,229,0
2019,4,泉中央,愛宕橋,4564,1924,476,459,0,0,0,0,0,48,0,1400,0,2640,1178,15,1169,0,190,88,0
2019,4,泉中央,河原町,6639,2709,380,342,0,0,0,0,0,153,0,2175,1,3930,2220,15,1136,2,398,159,0
2019,4,泉中央,長町一丁目,5861,2723,317,287,0,0,0,0,0,178,0,2228,0,3138,1776,21,908,3,333,97,0
2019,4,泉中央,長町,20322,8877,1656,1407,0,0,0,0,0,533,0,6688,0,11445,4643,185,4853,5,1065,694,0
2019,4,泉中央,長町南,16940,6551,1014,834,0,0,0,0,0,590,0,4947,0,10389,4659,234,3969,0,944,583,0
2019,4,泉中央,富沢,11183,5205,1196,1069,0,0,0,0,0,438,0,3571,0,5978,3150,32,2341,6,233,216,0
2019,4,泉中央,八木山動物公園,4969,1945,449,303,0,0,0,0,0,209,0,1287,0,3024,624,56,2027,0,237,80,0
2019,4,泉中央,青葉山,3727,813,71,69,0,0,0,0,0,37,0,705,0,2914,596,81,2204,0,26,7,0
2019,4,泉中央,川内,2528,748,83,80,0,0,0,0,0,47,0,618,0,1780,272,60,1398,0,34,16,0
2019,4,泉中央,国際センター,4283,1334,180,165,0,0,0,0,0,132,0,1022,0,2949,158,293,2275,2,208,13,0
2019,4,泉中央,大町西公園,2227,1409,224,175,0,0,0,0,0,106,0,1079,0,818,526,1,98,0,157,36,0
2019,4,泉中央,青葉通一番町,2366,1040,158,131,0,0,0,0,0,70,0,812,0,1326,815,7,83,0,314,107,0
2019,4,泉中央,宮城野通,1967,900,95,78,0,0,0,0,0,36,0,769,0,1067,805,8,62,0,89,103,0
2019,4,泉中央,連坊,4361,1206,142,129,0,0,0,0,0,52,0,1012,0,3155,625,102,2273,4,112,39,0
2019,4,泉中央,薬師堂,5744,1732,229,200,0,0,0,0,0,73,0,1430,0,4012,1173,201,2262,0,216,160,0
2019,4,泉中央,卸町,3722,1398,209,195,0,0,0,0,0,102,0,1087,0,2324,1455,23,651,0,116,79,0
2019,4,泉中央,六丁の目,3009,1100,152,140,0,0,0,0,0,45,0,903,0,1909,1028,39,735,0,36,71,0
2019,4,泉中央,荒井,2233,903,103,87,0,0,0,0,0,69,0,731,0,1330,595,30,500,0,108,97,0
2019,4,八乙女,泉中央,22282,11965,2249,1941,0,0,0,0,0,213,0,9503,0,10317,4748,223,1458,0,2565,1323,0
2019,4,八乙女,黒松,2381,1124,201,156,0,0,0,0,0,32,0,890,1,1257,443,3,166,0,434,211,0
2019,4,八乙女,旭ヶ丘,4019,2062,340,302,0,0,0,0,0,18,0,1704,0,1957,719,17,287,1,570,363,0
2019,4,八乙女,台原,3434,1433,298,284,0,0,0,0,0,18,0,1117,0,2001,777,25,537,0,420,242,0
2019,4,八乙女,北仙台,8655,3742,702,663,0,0,0,0,0,29,0,3011,0,4913,2574,181,1487,0,405,266,0
2019,4,八乙女,北四番丁,14987,7542,631,593,0,0,0,0,0,35,0,6876,0,7445,5866,10,668,1,539,361,0
2019,4,八乙女,勾当台公園,28200,11816,1901,1782,0,0,0,0,0,147,0,9768,0,16384,13815,13,690,0,1477,389,0
2019,4,八乙女,広瀬通,25439,12130,1727,1622,0,0,0,0,0,139,0,10264,0,13309,11050,25,877,0,991,366,0
2019,4,八乙女,仙台,71223,34695,7232,6663,0,0,0,0,0,447,0,27016,0,36528,25598,968,6485,0,2544,933,0
2019,4,八乙女,五橋,6163,2404,303,286,0,0,0,0,0,35,0,2066,0,3759,2510,14,949,0,195,91,0
2019,4,八乙女,愛宕橋,1127,375,85,83,0,0,0,0,0,9,0,281,0,752,435,0,227,0,49,41,0
2019,4,八乙女,河原町,1577,647,69,54,0,0,0,0,0,21,0,557,0,930,611,0,198,0,81,40,0
2019,4,八乙女,長町一丁目,1491,571,96,60,0,0,0,0,0,31,0,444,0,920,577,0,219,0,70,54,0
2019,4,八乙女,長町,5712,2112,453,403,0,0,0,0,0,73,0,1586,0,3600,2141,48,956,0,297,158,0
2019,4,八乙女,長町南,4524,1780,325,276,0,0,0,0,0,122,0,1333,0,2744,1507,28,702,1,278,228,0
2019,4,八乙女,富沢,2610,1134,218,190,0,0,0,0,0,65,0,851,0,1476,946,1,436,0,70,23,0
2019,4,八乙女,八木山動物公園,1477,554,128,99,0,0,0,0,0,83,0,343,0,923,221,1,616,0,78,7,0
2019,4,八乙女,青葉山,1109,218,12,12,0,0,0,0,0,6,0,200,0,891,445,0,426,0,19,1,0
2019,4,八乙女,川内,557,161,19,19,0,0,0,0,0,8,0,134,0,396,60,1,315,0,18,2,0
2019,4,八乙女,国際センター,900,340,47,46,0,0,0,0,0,49,0,244,0,560,46,3,400,0,74,37,0
2019,4,八乙女,大町西公園,724,371,53,42,0,0,0,0,0,29,0,289,0,353,228,0,48,0,64,13,0
2019,4,八乙女,青葉通一番町,1122,518,43,40,0,0,0,0,0,15,0,460,0,604,443,0,14,0,129,18,0
2019,4,八乙女,宮城野通,925,424,43,38,0,0,0,0,0,15,0,366,0,501,453,0,6,0,34,8,0
2019,4,八乙女,連坊,1033,227,20,20,0,0,0,0,0,12,0,195,0,806,274,13,487,0,25,7,0
2019,4,八乙女,薬師堂,1630,513,66,56,0,0,0,0,0,26,0,421,0,1117,483,0,572,0,30,32,0
2019,4,八乙女,卸町,1316,537,82,80,0,0,0,0,0,22,0,433,0,779,580,4,134,0,33,28,0
2019,4,八乙女,六丁の目,994,371,38,38,0,0,0,0,0,12,0,321,0,623,419,0,185,0,9,10,0
2019,4,八乙女,荒井,656,212,26,24,0,0,0,0,0,13,0,173,0,444,303,0,112,0,29,0,0
2019,4,黒松,泉中央,14804,7926,1448,1288,0,0,0,0,0,140,0,6338,0,6878,3034,252,946,0,2066,580,0
2019,4,黒松,八乙女,3048,1291,247,193,0,0,0,0,0,52,0,992,0,1757,871,2,200,0,502,182,0
2019,4,黒松,旭ヶ丘,2125,476,62,45,0,0,0,0,0,30,0,384,0,1649,607,1,55,0,732,254,0
2019,4,黒松,台原,2621,1104,189,162,0,0,0,0,0,25,0,890,0,1517,620,20,83,0,633,161,0
2019,4,黒松,北仙台,4459,1940,309,278,0,0,0,0,0,45,0,1586,0,2519,1053,232,481,0,524,229,0
2019,4,黒松,北四番丁,6142,2389,228,216,0,0,0,0,0,17,0,2144,0,3753,2775,1,280,0,501,196,0
2019,4,黒松,勾当台公園,14053,5990,754,728,0,0,0,0,0,52,0,5184,0,8063,6186,19,273,0,1308,277,0
2019,4,黒松,広瀬通,14157,6195,813,759,0,0,0,0,0,58,0,5324,0,7962,6327,34,415,0,913,273,0
2019,4,黒松,仙台,33295,15755,2868,2594,0,0,0,0,0,126,0,12761,0,17540,12833,389,1989,0,1670,659,0
2019,4,黒松,五橋,2702,912,88,87,0,0,0,0,0,22,0,802,0,1790,801,0,762,0,87,140,0
2019,4,黒松,愛宕橋,530,144,14,14,0,0,0,0,0,2,0,128,0,386,264,0,81,0,30,11,0
2019,4,黒松,河原町,711,241,52,51,0,0,0,0,0,4,0,185,0,470,298,0,57,0,81,34,0
2019,4,黒松,長町一丁目,722,209,15,14,0,0,0,0,0,8,0,186,0,513,279,0,85,0,55,94,0
2019,4,黒松,長町,1821,719,104,88,0,0,0,0,0,54,0,561,0,1102,782,7,136,0,137,40,0
2019,4,黒松,長町南,1709,725,107,91,0,0,0,0,0,43,0,575,0,984,543,51,225,0,115,50,0
2019,4,黒松,富沢,669,309,53,38,0,0,0,0,0,27,0,229,0,360,271,0,47,0,31,11,0
2019,4,黒松,八木山動物公園,471,206,26,20,0,0,0,0,0,36,0,144,0,265,62,0,164,0,27,12,0
2019,4,黒松,青葉山,730,211,2,1,0,0,0,0,0,0,0,209,0,519,185,0,328,0,3,3,0
2019,4,黒松,川内,340,86,6,6,0,0,0,0,0,0,0,80,0,254,50,0,187,0,15,2,0
2019,4,黒松,国際センター,526,171,28,26,0,0,0,0,0,6,0,137,0,355,10,29,273,0,41,2,0
2019,4,黒松,大町西公園,282,163,23,19,0,0,0,0,0,12,0,128,0,119,50,0,18,0,44,7,0
2019,4,黒松,青葉通一番町,195,92,13,13,0,0,0,0,0,5,0,74,0,103,36,0,5,0,55,7,0
2019,4,黒松,宮城野通,240,70,9,7,0,0,0,0,0,8,0,53,0,170,137,0,14,0,4,15,0
2019,4,黒松,連坊,381,98,7,7,0,0,0,0,0,5,0,86,0,283,64,0,202,0,2,15,0
2019,4,黒松,薬師堂,666,224,11,11,0,0,0,0,0,15,0,198,0,442,135,0,274,0,33,0,0
2019,4,黒松,卸町,592,181,29,23,0,0,0,0,0,9,0,143,0,411,326,0,43,0,20,22,0
2019,4,黒松,六丁の目,409,173,11,8,0,0,0,0,0,10,0,152,0,236,175,0,26,0,9,26,0
