年月日,乗車駅,降車駅,総計,定期以外計,普通券計,普通券大人,普通券小人,乗継計,乗継大人,乗継小人,地下売,バス売,一日券,プリペイド,ICSF,定期以外その他,定期計,通勤,通学,学都,公用,敬老,ふれあい,定期その他
2023-04-01,泉中央,八乙女,19553,8829,1249,1075,174,0,0,0,0,0,242,0,7338,0,10724,5378,215,1159,0,2556,1416,0
2023-04-01,泉中央,黒松,13606,6177,854,712,142,0,0,0,0,0,111,0,5212,0,7429,3220,137,1027,0,2259,786,0
2023-04-01,泉中央,旭ヶ丘,16448,7270,1170,911,259,0,0,0,0,0,116,0,5984,0,9178,3729,140,1280,0,2670,1359,0
2023-04-01,泉中央,台原,16691,6944,761,663,98,0,0,0,0,0,61,0,6121,1,9747,4120,403,2821,0,1394,1009,0
2023-04-01,泉中央,北仙台,33051,14411,1719,1540,179,0,0,0,0,0,132,0,12559,1,18640,9121,1336,5068,2,1803,1310,0
2023-04-01,泉中央,北四番丁,35588,12630,992,884,108,0,0,0,0,0,145,0,11493,0,22958,17091,145,2848,2,1645,1227,0
2023-04-01,泉中央,勾当台公園,67109,29991,3415,3073,342,0,0,0,0,0,522,0,26054,0,37118,29499,130,1426,4,4592,1467,0
2023-04-01,泉中央,広瀬通,61230,28641,3098,2850,248,0,0,0,0,0,384,0,25159,0,32589,26110,217,2337,0,2868,1057,0
2023-04-01,泉中央,仙台,188838,99955,15339,13859,1480,0,0,0,0,0,1551,0,83064,1,88883,57008,3484,17717,11,6935,3728,0
2023-04-01,泉中央,五橋,28031,9863,1428,1334,94,0,0,0,0,0,124,0,8311,0,18168,5560,268,11534,0,567,239,0
2023-04-01,泉中央,愛宕橋,4064,1646,513,493,20,0,0,0,0,0,47,0,1086,0,2418,1234,54,885,0,149,96,0
2023-04-01,泉中央,河原町,5431,2205,284,253,31,0,0,0,0,0,151,0,1770,0,3226,2156,24,559,0,346,141,0
2023-04-01,泉中央,長町一丁目,4788,2024,190,166,24,0,0,0,0,0,79,0,1755,0,2764,1703,25,707,0,229,100,0
2023-04-01,泉中央,長町,15779,6313,783,641,142,0,0,0,0,0,488,0,5042,0,9466,5423,112,2477,2,838,614,0
2023-04-01,泉中央,長町南,11990,4476,576,451,125,0,0,0,0,0,345,0,3555,0,7514,4286,133,1855,0,811,429,0
2023-04-01,泉中央,富沢,7938,2917,379,308,71,0,0,0,0,0,275,0,2263,0,5021,3396,0,1216,6,184,219,0
2023-04-01,泉中央,八木山動物公園,3706,1616,238,168,70,0,0,0,0,0,222,0,1156,0,2090,551,74,1198,0,146,121,0
2023-04-01,泉中央,青葉山,3131,628,46,40,6,0,0,0,0,0,19,0,563,0,2503,641,28,1740,0,43,51,0
